ID,Domain,Name,Intent,Standards,AWS,Azure,GCP,PaC_Hook
GA1,IAM,Strong individual admin identities with MFA,Eliminate shared/root accounts and enforce MFA for all privileged access.,ISO 27001 A.5.15/A.5.16/A.8.2/A.8.3; ISO 27017 9.4.1; NIST AC-2/IA-2/IA-5; BSI ORP.4/SYS.1.1; GDPR Art.32,Root locked; SSO roles; IAM deny admin without MFA.,AAD + Conditional Access; PIM for privileged roles.,Cloud Identity; MFA via Context-Aware Access; org policy on keys.,Fail if admin user/role lacks MFA condition or root has active keys.
GA2,IAM,Just-in-time privileged access,Avoid standing admin privileges; reduce insider and compromise risk.,ISO 27001 A.5.15/A.5.18; NIST AC-2/AC-6; BSI ORP.4; GDPR Art.25/32,Time-boxed roles via IAM Identity Center.,AAD PIM for Azure/M365 roles.,Time-bound IAM grants; Access Approval.,Fail if ADMIN roles attached permanently outside approved JIT mechanisms.
GA3,IAM,Least-privilege workload identities,Ensure service identities have minimal necessary permissions.,ISO 27001 A.5.18/A.8.2; NIST AC-3/AC-6; BSI SYS.1.1; GDPR Art.25/32,IAM roles for compute; block *:* policies.,Managed identities with scoped RBAC.,Scoped service accounts; disable user-managed keys.,Fail on *:* policies or disallowed service account keys.
GA4,IAM,Centralised identity federation,Avoid local siloed admin accounts; enforce central IdP.,ISO 27001 A.5.17/A.8.2; NIST AC-2/IA-8; BSI ORP.1/ORP.4,SSO/SAML for humans; no standalone IAM users.,AAD as IdP; no local users on subscriptions.,Cloud Identity federation; no unmanaged admins.,Fail if human IAM user exists outside SSO boundary.
GA5,IAM,Service account and credential lifecycle,"Prevent orphaned, stale or unmanaged credentials.",ISO 27001 A.5.16/A.8.3; NIST IA-5; BSI CON.3; GDPR Art.32,"Secrets Manager, rotation; Access Analyzer.",Key Vault with rotation; managed identities.,Secret Manager; key rotation; disable legacy keys.,Fail if key age > N days or creds missing owner/rotation.
GN1,Network,No direct public management plane access,Block public exposure of admin interfaces.,ISO 27001 A.5.13/A.8.20; NIST AC-17/SC-7; BSI NET.*; GDPR Art.32,No SSH/RDP from internet; SSM/bastions only.,Azure Bastion/JIT; private endpoints.,IAP; Private Service Connect; no public admin IPs.,Fail if admin ports open to 0.0.0.0/0.
GN2,Network,Default-deny inbound with segmented tiers,"Enforce explicit, least-privilege segmentation.",ISO 27001 A.8.20; NIST SC-7; BSI NET.1.1/NET.3,Tight security groups per tier.,NSGs + subnets per tier.,VPC firewall rules per tier.,Fail if wide-open inbound rules exist beyond whitelist.
GN3,Network,Controlled egress and DNS logging,"Avoid uncontrolled outbound traffic, ensure DNS visibility.","ISO 27001 A.8.20/A.8.23; NIST SC-7/SI-4; BSI NET.*, DET.*",Central DNS resolvers; VPC egress controls.,Azure Firewall; DNS logging.,Cloud DNS logs; egress firewall policies.,Fail if DNS not via approved resolvers or egress is any-any.
GD1,Data,Encryption at rest with central key management,Encrypt all persistent data with governed keys.,ISO 27001 A.8.24/A.8.25; NIST SC-12/SC-28; BSI CON.*; GDPR Art.32,EBS/RDS/S3 encryption with KMS.,Disk/DB/Storage encryption with Key Vault keys.,"CMEK for disks, DBs, buckets.",Fail if unencrypted storage or disallowed key policy found.
GD2,Data,Encryption in transit and secure endpoints,Ensure TLS-only access using modern protocols.,ISO 27001 A.8.21; NIST SC-8; GDPR Art.32,HTTPS-only ALBs/API GW; TLS 1.2+.,HTTPS-only App Gateway; TLS policies.,HTTPS load balancers; SSL policies.,Fail on HTTP-only endpoints or weak TLS versions.
GD3,Data,Data classification and region constraints,Match regions to classification and residency rules.,"ISO 27001 A.5.12/A.8.12; NIST PT-3; GDPR Art.5, 44–49",Allow-listed regions by account/OUs.,Region policies per subscription.,Org policy: allowedLocations.,Fail if classified data resources in non-approved region.
GL1,Logging,Mandatory audit logging per account/subscription/project,Ensure complete admin activity logging.,ISO 27001 A.8.15/A.8.16; NIST AU-2/AU-6; BSI DET.*; GDPR Art.5(2),Org CloudTrail to central S3/CloudWatch.,Activity Logs + Diagnostics to Log Analytics.,Admin/Data Access logs to central project.,Fail if no org-level audit trail or no export configured.
GL2,Logging,Central log retention and integrity,Preserve logs with sufficient retention and immutability.,ISO 27001 A.8.15/A.8.17; NIST AU-9/AU-11; BSI LOG.*,Log buckets with retention + object lock.,Log Analytics retention and immutable storage.,Log sinks to WORM-compatible storage.,Fail if retention below policy or logs deletable by admins.
GL3,Logging,Guardrail violation alerting,Trigger timely triage when policies are breached.,ISO 27001 A.5.26/A.5.28/A.8.16; NIST IR-4/SI-4; BSI DET.*,CloudWatch alarms/Events to SOC.,Azure Monitor alerts to SOC.,Cloud Monitoring alerting policies.,Fail if critical policies have no bound alert rules.
GW1,Workload,Approved hardened images and baselines,Reduce vulnerability and config drift via golden images.,ISO 27001 A.8.9/A.8.10; NIST CM-2/CM-6; BSI SYS.*,AMI catalogues; SSM baselines.,Shared Image Gallery; Azure Policy baselines.,Image Catalog; OS Config baselines.,Fail if workloads use non-approved images.
GW2,Workload,Only approved services in sensitive environments,Limit attack surface to well-understood services.,ISO 27001 A.5.10/A.5.11; NIST CM-7; BSI OPS.*,SCPs to block unapproved services.,Azure Policy to restrict resource types.,Org policy constraints by service.,Fail if disallowed services detected in scope.
GG1,Governance,Changes via approved IaC pipeline,"Ensure traceable, reviewed infrastructure changes.",ISO 27001 A.8.32/A.8.33; NIST CM-3/CM-5; BSI OPS.*,Terraform/CloudFormation via CI/CD; detect drift.,Bicep/ARM via CI/CD; deny direct edits.,Deployment Manager/Terraform enforced.,Flag unmanaged resources or frequent console-only changes.
GG2,Governance,Structured exception workflow,Allow risk-based deviations with full accountability.,ISO 27001 A.5.31/A.5.36; NIST RA-3; BSI ORP.*,Exceptions recorded with tags + ticket IDs.,Policy exemptions tied to work items.,Policy exceptions tracked via labels and registry.,Treat violation as hard-fail if no valid exception metadata.
GG3,Governance,Evidence catalogue and machine-readable mapping,Link each guardrail to controls and concrete evidence artifacts.,ISO 27001 A.5.2/A.5.9; NIST CA-2/CA-7; GDPR Art.5(2),Export PaC results and CloudTrail/Config metadata.,"Policy/compliance exports, Activity Logs.","Policy Controller/Config Validator results, audit logs.",Regular export of policy evaluations into OSCAL-style or similar schema.
